season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2023,NBA,Houston Rockets,HOU,False,50.0,12050.0,1987.0,4418.0,0.45,559.0,1710.0,0.327,1428.0,2708.0,0.527,946.0,1260.0,0.751,658.0,1684.0,2342.0,1116.0,362.0,240.0,855.0,1027.0,5479.0
2023,NBA,Indiana Pacers,IND,False,52.0,12505.0,2135.0,4659.0,0.458,718.0,1987.0,0.361,1417.0,2672.0,0.53,999.0,1248.0,0.8,531.0,1655.0,2186.0,1367.0,417.0,309.0,799.0,1121.0,5987.0
2023,NBA,Los Angeles Clippers,LAC,False,54.0,13010.0,2160.0,4611.0,0.468,680.0,1806.0,0.377,1480.0,2805.0,0.528,975.0,1264.0,0.771,543.0,1815.0,2358.0,1235.0,360.0,251.0,783.0,1056.0,5975.0
2023,NBA,Los Angeles Lakers,LAL,False,52.0,12655.0,2246.0,4668.0,0.481,548.0,1627.0,0.337,1698.0,3041.0,0.558,1046.0,1338.0,0.782,494.0,1848.0,2342.0,1301.0,340.0,240.0,732.0,970.0,6086.0
2023,NBA,Memphis Grizzlies,MEM,False,50.0,12050.0,2180.0,4651.0,0.469,568.0,1649.0,0.344,1612.0,3002.0,0.537,905.0,1267.0,0.714,668.0,1758.0,2426.0,1270.0,414.0,297.0,718.0,1004.0,5833.0
2023,NBA,Miami Heat,MIA,False,52.0,12555.0,2038.0,4497.0,0.453,615.0,1828.0,0.336,1423.0,2669.0,0.533,949.0,1154.0,0.822,518.0,1636.0,2154.0,1225.0,444.0,152.0,702.0,974.0,5640.0
2023,NBA,Milwaukee Bucks,MIL,False,51.0,12340.0,2118.0,4596.0,0.461,730.0,2026.0,0.36,1388.0,2570.0,0.54,861.0,1165.0,0.739,606.0,1885.0,2491.0,1263.0,346.0,262.0,782.0,936.0,5827.0
2023,NBA,Minnesota Timberwolves,MIN,False,53.0,12770.0,2253.0,4578.0,0.492,622.0,1748.0,0.356,1631.0,2830.0,0.576,971.0,1258.0,0.772,477.0,1708.0,2185.0,1340.0,442.0,282.0,841.0,1162.0,6099.0
2023,NBA,New Orleans Pelicans,NOP,False,52.0,12630.0,2190.0,4594.0,0.477,570.0,1601.0,0.356,1620.0,2993.0,0.541,1028.0,1319.0,0.779,575.0,1719.0,2294.0,1342.0,447.0,225.0,789.0,1069.0,5978.0
2023,NBA,New York Knicks,NYK,False,52.0,12680.0,2148.0,4688.0,0.458,618.0,1805.0,0.342,1530.0,2883.0,0.531,1036.0,1336.0,0.775,688.0,1769.0,2457.0,1169.0,327.0,218.0,677.0,1068.0,5950.0
2023,NBA,Oklahoma City Thunder,OKC,False,50.0,12150.0,2170.0,4627.0,0.469,603.0,1661.0,0.363,1567.0,2966.0,0.528,900.0,1132.0,0.795,568.0,1637.0,2205.0,1223.0,405.0,251.0,690.0,1084.0,5843.0
2023,NBA,Orlando Magic,ORL,False,51.0,12290.0,2045.0,4329.0,0.472,559.0,1583.0,0.353,1486.0,2746.0,0.541,1025.0,1296.0,0.791,491.0,1678.0,2169.0,1162.0,352.0,238.0,775.0,1038.0,5674.0
2023,NBA,Philadelphia 76ers,PHI,False,49.0,11885.0,2006.0,4154.0,0.483,629.0,1636.0,0.384,1377.0,2518.0,0.547,978.0,1185.0,0.825,426.0,1565.0,1991.0,1238.0,394.0,237.0,688.0,1012.0,5619.0
2023,NBA,Phoenix Suns,PHO,False,52.0,12580.0,2164.0,4673.0,0.463,668.0,1723.0,0.388,1496.0,2950.0,0.507,876.0,1103.0,0.794,622.0,1659.0,2281.0,1405.0,359.0,263.0,737.0,1093.0,5872.0
2023,NBA,Portland Trail Blazers,POR,False,50.0,12050.0,2034.0,4217.0,0.482,643.0,1707.0,0.377,1391.0,2510.0,0.554,995.0,1264.0,0.787,504.0,1608.0,2112.0,1211.0,322.0,217.0,750.0,1038.0,5706.0
2023,NBA,Sacramento Kings,SAC,False,49.0,11810.0,2115.0,4288.0,0.493,661.0,1793.0,0.369,1454.0,2495.0,0.583,965.0,1219.0,0.792,442.0,1625.0,2067.0,1322.0,334.0,160.0,698.0,984.0,5856.0
2023,NBA,San Antonio Spurs,SAS,False,51.0,12290.0,2195.0,4672.0,0.47,544.0,1584.0,0.343,1651.0,3088.0,0.535,808.0,1093.0,0.739,619.0,1575.0,2194.0,1382.0,350.0,207.0,778.0,1014.0,5742.0
2023,NBA,Toronto Raptors,TOR,False,52.0,12580.0,2136.0,4711.0,0.453,564.0,1693.0,0.333,1572.0,3018.0,0.521,1029.0,1299.0,0.792,655.0,1560.0,2215.0,1204.0,479.0,272.0,613.0,1053.0,5865.0
